Unnamed: 0,entry,dist,feedname,date,feed,title
0,StLouisPost|16514,0.6332221244567641,StLouisPost,2015-11-17,6,Obama arrives in Philippines on trip to solidify Asia ties
1,DailyNews|13904,0.7964576221217811,DailyNews,2015-11-17,2,"SEIU, one of nation’s largest labor unions, endorses Clinton"
2,WashingtonPost|6105,0.9247864136397826,WashingtonPost,2015-11-19,9,Are you a democratic socialist like Bernie Sanders? Take the quiz.
3,WashingtonPost|5981,0.7633295532628877,WashingtonPost,2015-11-17,9,"Amid record global temperatures, Congress to vote to stop Obama's Clean Power Plan"
4,StLouisPost|16875,0.69784400913507,StLouisPost,2015-11-19,6,Trudeau says Canada will stay in fight against Islamic State
5,NYTimes|5283,0.6489555759374561,NYTimes,2015-11-16,5,5 Yemeni Guantánamo Inmates Are Sent to United Arab Emirates
6,StLouisPost|16484,0.7753289464334261,StLouisPost,2015-11-16,6,Here we go again: Paris attacks may renew encryption debate
7,BostonHerald|15063,0.6156901516142835,BostonHerald,2015-11-15,0,"The Latest: German official: Don&#039;t link terrorism, refugees"
8,NYTimes|5245,0.6500396510063696,NYTimes,2015-11-14,5,Republican Candidates Urge Aggressive Response After Paris Attacks
9,StLouisPost|16376,0.8714199123341884,StLouisPost,2015-11-16,6,Carson: Cut illegal immigration by cutting benefits
10,USAToday|7602,0.7357884106355905,USAToday,2015-11-15,7,Jewish activists secretly pray at Muslim holy site
11,NYTimes|5313,0.5555508578905505,NYTimes,2015-11-16,5,Obama Chides Republicans Who Want to Screen Muslim Refugees
12,WashingtonPost|5978,0.9063438556530484,WashingtonPost,2015-11-17,9,"For Mike Huckabee, it may be the journey — not the destination"
13,LATimes|19604,0.9031897192109897,LATimes,2015-11-18,3,Give the community college accrediting panel room to improve
14,USAToday|7871,0.705680136761064,USAToday,2015-11-19,7,Carson compares some Syrian refugees to rabid dogs
15,DailyNews|13580,0.9160685119459431,DailyNews,2015-11-14,2,City Council OK with not getting raise: 2013 survey
16,StLouisPost|16767,0.7402923587823009,StLouisPost,2015-11-18,6,"UN says 5,700 have been killed in Yemen conflict since March"
17,StLouisPost|16717,0.781816306906222,StLouisPost,2015-11-18,6,Olympic athlete calls for all sports to be investigated
18,NYPost|16147,0.9212195214942704,NYPost,2015-11-19,4,City creating 15K units of supportive housing
19,WashingtonPost|5865,0.5269135374419694,WashingtonPost,2015-11-16,9,Obama and Putin meet for talks in aftermath of Paris attacks
20,NYPost|16246,0.6990691572005339,NYPost,2015-11-20,4,Hillary Clinton’s plan to fight ISIS is like Obama’s — only more so
21,WallStreetJournal|2314,0.5594646272821211,WallStreetJournal,2015-11-19,8,Obama Faces a Diplomatic Dilemma on Malaysia Trip
22,WashingtonPost|6171,0.8701800795850824,WashingtonPost,2015-11-20,9,"Student 'takeovers' over race are forcing change in some surprising ways, at Princeton, Towson and beyond"
23,StLouisPost|16650,0.7017217372970622,StLouisPost,2015-11-17,6,US lawmaker reports 'heated exchanges' with China on Tibet
24,LATimes|19068,0.5353476112271544,LATimes,2015-11-14,3,Paris attacks: 'Enough of the words. How many more people need to die?'
25,BostonHerald|15137,0.826260898149035,BostonHerald,2015-11-16,0,Editorials: Racing to the bottom
26,LATimes|19469,0.8347247100564577,LATimes,2015-11-17,3,Inspectors will decide if Russian track athletes can compete in 2016 Olympics
27,StLouisPost|16641,0.7408132952161801,StLouisPost,2015-11-17,6,"When refugees arrive in US, here's what they can expect"
28,LATimes|19211,0.757157506202171,LATimes,2015-11-16,3,Essential Politics: Paris presents a new political reality
29,USAToday|7632,0.8840524788154811,USAToday,2015-11-16,7,Iowa Rep. Steve King endorses Ted Cruz for president
